sequenceID	sequence_length	locus_name	genus	stem	locus_numeric_id	duplicate_id	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end
EFV-PL2.3.106-Ceratina_calcarata	309	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	106	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01013676.1	+	1	309
EFV-PL2.3.107-Ceratina_calcarata	270	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	107	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01019655.1	-	2	271
EFV-PL2.3.108-Ceratina_calcarata	345	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	108	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01004653.1	+	9	353
EFV-PL2.3.109-Ceratina_calcarata	231	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	109	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01029438.1	+	3	233
EFV-PL2.3.110-Ceratina_calcarata	222	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	110	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01032777.1	-	2	223
EFV-PL2.3.111-Ceratina_calcarata	231	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	111	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01029144.1	+	3	233
EFV-PL2.3.112-Ceratina_calcarata	348	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	112	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01009221.1	+	2	349
EFV-PL2.3.113-Ceratina_calcarata	228	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	113	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01031071.1	-	2	229
EFV-PL2.3.116-Ceratina_calcarata	306	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	116	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01007748.1	-	62	367
EFV-PL2.3.117-Ceratina_calcarata	279	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	117	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01017109.1	-	3	281
EFV-PL2.3.118-Ceratina_calcarata	225	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	118	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01031839.1	-	2	226
EFV-PL2.3.119-Ceratina_calcarata	252	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	119	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01022802.1	-	2	253
EFV-PL2.3.122-Ceratina_calcarata	291	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	122	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01015710.1	-	2	292
EFV-PL2.3.123-Ceratina_calcarata	279	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	123	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01017633.1	-	2	280
EFV-PL2.3.124-Ceratina_calcarata	279	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	124	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01017576.1	-	2	280
EFV-PL2.3.125-Ceratina_calcarata	240	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	125	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01005431.1	-	160	399
EFV-PL2.3.126-Ceratina_calcarata	339	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	126	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01010037.1	+	4	342
EFV-PL2.3.127-Ceratina_calcarata	285	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	127	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01010817.1	-	48	332
EFV-PL2.3.129-Ceratina_calcarata	219	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	129	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01035027.1	-	1	219
EFV-PL2.3.133-Ceratina_calcarata	231	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	133	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01029617.1	-	1	231
EFV-PL2.3.134-Ceratina_calcarata	249	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	134	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01023980.1	+	2	250
EFV-PL2.3.136-Ceratina_calcarata	228	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	136	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01030735.1	-	3	230
EFV-PL2.3.140-Ceratina_calcarata	186	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	140	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01027129.1	-	56	241
EFV-PL2.3.141-Ceratina_calcarata	222	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	141	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01033181.1	+	2	223
EFV-PL2.3.142-Ceratina_calcarata	198	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	142	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01045128.1	+	2	199
EFV-PL2.3.143-Ceratina_calcarata	186	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	143	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01026740.1	-	55	240
EFV-PL2.3.144-Ceratina_calcarata	204	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	144	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01042023.1	+	2	205
EFV-PL2.3.145-Ceratina_calcarata	282	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	145	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01016155.1	-	8	289
EFV-PL2.3.148-Ceratina_calcarata	240	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	148	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01026984.1	-	1	240
EFV-PL2.3.155-Ceratina_calcarata	276	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	155	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01018195.1	-	2	277
EFV-PL2.3.156-Ceratina_calcarata	195	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	156	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01044617.1	-	3	197
EFV-PL2.3.158-Ceratina_calcarata	195	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	158	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01023177.1	+	61	255
EFV-PL2.3.164-Ceratina_calcarata	213	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	164	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01035444.1	+	4	216
EFV-PL2.3.167-Ceratina_calcarata	135	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	167	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01042962.1	+	3	137
EFV-PL2.3.171-Ceratina_calcarata	147	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	171	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01027670.1	-	92	238
EFV-PL2.3.191-Ceratina_calcarata	2283	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	191	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01001226.1	+	10802	13084
EFV-PL2.3.193-Ceratina_calcarata	687	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	193	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01047144.1	+	10	696
EFV-PL2.3.194-Ceratina_calcarata	372	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	194	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01007166.1	-	2	373
EFV-PL2.3.195-Ceratina_calcarata	315	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	195	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01002163.1	+	2	316
EFV-PL2.3.196-Ceratina_calcarata	219	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	196	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01034754.1	+	2	220
EFV-PL2.3.198-Ceratina_calcarata	6462	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	198	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_004307685.1_ASM430768v1_genomic.fna	SHCU01001306.1	+	14225	20686
EFV-PL2.3.201-Ceratina_calcarata	1266	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	201	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_004307685.1_ASM430768v1_genomic.fna	SHCU01006948.1	+	50	1315
EFV-PL2.3.204-Ceratina_calcarata	1161	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	204	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01007571.1	+	3881	5041
EFV-PL2.3.205-Ceratina_calcarata	381	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	205	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01006512.1	+	2	382
EFV-PL2.3.206-Ceratina_calcarata	327	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	206	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01009627.1	+	2	328
EFV-PL2.3.207-Ceratina_calcarata	2316	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	207	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01022530.1	-	1058	3373
EFV-PL2.3.210-Ceratina_calcarata	399	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	210	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01005386.1	+	2	400
EFV-PL2.3.211-Ceratina_calcarata	258	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	211	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01021754.1	+	3	260
EFV-PL2.3.212-Ceratina_calcarata	270	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	212	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01019418.1	+	2	271
EFV-PL2.3.213-Ceratina_calcarata	255	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	213	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01022624.1	+	1	255
EFV-PL2.3.214-Ceratina_calcarata	267	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	214	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01019724.1	+	2	268
EFV-PL2.3.215-Ceratina_calcarata	171	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	215	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01027654.1	+	2	172
EFV-PL2.3.216-Ceratina_calcarata	174	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	216	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01030536.1	+	1	174
EFV-PL2.3.217-Ceratina_calcarata	147	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	217	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01037518.1	+	1	147
EFV-PL2.3.218-Ceratina_calcarata	102	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	218	Ceratina_calcarata	low_coverage	ASM165200v1	GCA_001652005.1_ASM165200v1_genomic.fna	LSNX01035518.1	-	3	104
EFV-PL2.3.8-Dufourea_novaeangliae	5951	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	8	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015373905.1	-	1526901	1532851
EFV-PL2.3.10-Dufourea_novaeangliae	3756	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	10	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374131.1	+	135751	139506
EFV-PL2.3.11-Dufourea_novaeangliae	1084	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	11	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015373907.1	-	13307	14390
EFV-PL2.3.51-Dufourea_novaeangliae	564	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	51	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374226.1	-	12237	12800
EFV-PL2.3.53-Dufourea_novaeangliae	219	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	53	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374014.1	-	468128	468346
EFV-PL2.3.70-Dufourea_novaeangliae	3628	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	70	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015373949.1	+	55376	59003
EFV-PL2.3.78-Dufourea_novaeangliae	2091	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	78	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374131.1	+	120625	122715
EFV-PL2.3.90-Dufourea_novaeangliae	1068	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	90	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374420.1	-	11308	12375
EFV-PL2.3.102-Dufourea_novaeangliae	420	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	102	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374420.1	-	18973	19392
EFV-PL2.3.168-Dufourea_novaeangliae	1126	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	168	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374004.1	+	745179	746304
EFV-PL2.3.192-Dufourea_novaeangliae	894	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	192	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374205.1	-	287333	288226
EFV-PL2.3.209-Dufourea_novaeangliae	939	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	209	Dufourea_novaeangliae	low_coverage	ASM127255v1	GCF_001272555.1_ASM127255v1_genomic.fna	NW_015374136.1	+	2043	2981
EFV-PL2.3.15-Eufriesea_mexicana	1128	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	15	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017094858.1	+	139	1266
EFV-PL2.3.17-Eufriesea_mexicana	826	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	17	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016930208.1	+	3	828
EFV-PL2.3.46-Eufriesea_mexicana	168	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	46	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017010398.1	-	37	204
EFV-PL2.3.50-Eufriesea_mexicana	771	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	50	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016914389.1	-	28582	29352
EFV-PL2.3.73-Eufriesea_mexicana	4441	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	73	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016916939.1	+	45737	50177
EFV-PL2.3.95-Eufriesea_mexicana	754	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	95	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016915982.1	+	26171	26924
EFV-PL2.3.120-Eufriesea_mexicana	411	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	120	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017092148.1	-	43	453
EFV-PL2.3.137-Eufriesea_mexicana	234	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	137	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017058141.1	-	1	234
EFV-PL2.3.139-Eufriesea_mexicana	267	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	139	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017076911.1	-	1	267
EFV-PL2.3.153-Eufriesea_mexicana	489	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	153	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017092964.1	-	124	612
EFV-PL2.3.165-Eufriesea_mexicana	180	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	165	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017014459.1	-	17	196
EFV-PL2.3.170-Eufriesea_mexicana	171	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	170	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016923200.1	-	656	826
EFV-PL2.3.172-Eufriesea_mexicana	273	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	172	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016907884.1	-	370	642
EFV-PL2.3.197-Eufriesea_mexicana	300	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	197	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016934935.1	+	82	381
EFV-PL2.3.208-Eufriesea_mexicana	957	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	208	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016930386.1	-	38731	39687
EFV-PL2.3.219-Eufriesea_mexicana	1553	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	219	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016911683.1	-	5517	7069
EFV-PL2.3.220-Eufriesea_mexicana	255	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	220	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016993331.1	-	3	257
EFV-PL2.3.221-Eufriesea_mexicana	5402	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	221	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016908006.1	+	28541	33942
EFV-PL2.3.236-Eufriesea_mexicana	4772	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	236	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016910756.1	-	8952	13723
EFV-PL2.3.241-Eufriesea_mexicana	180	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	241	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_017077887.1	+	92	271
EFV-PL2.3.255-Eufriesea_mexicana	594	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	255	Eufriesea_mexicana	low_coverage	ASM148370v1	GCF_001483705.1_ASM148370v1_genomic.fna	NW_016935298.1	+	16136	16729
EFV-PL2.3.40-Habropoda_laboriosa	373	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	40	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100267.1	+	190333	190705
EFV-PL2.3.52-Habropoda_laboriosa	652	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	52	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100786.1	-	199006	199657
EFV-PL2.3.58-Habropoda_laboriosa	225	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	58	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100298.1	-	256439	256663
EFV-PL2.3.115-Habropoda_laboriosa	429	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	115	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017102650.1	+	6717	7145
EFV-PL2.3.132-Habropoda_laboriosa	605	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	132	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100971.1	-	94311	94915
EFV-PL2.3.166-Habropoda_laboriosa	222	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	166	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017101204.1	+	28357	28578
EFV-PL2.3.169-Habropoda_laboriosa	231	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	169	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100426.1	-	163639	163869
EFV-PL2.3.225-Habropoda_laboriosa	1753	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	225	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100164.1	+	1459463	1461215
EFV-PL2.3.226-Habropoda_laboriosa	2469	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	226	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100254.1	+	262245	264713
EFV-PL2.3.227-Habropoda_laboriosa	246	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	227	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017123952.1	+	2	247
EFV-PL2.3.230-Habropoda_laboriosa	2342	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	230	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100316.1	-	36036	38377
EFV-PL2.3.231-Habropoda_laboriosa	1385	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	231	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100397.1	+	922978	924362
EFV-PL2.3.232-Habropoda_laboriosa	2455	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	232	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100498.1	+	182171	184625
EFV-PL2.3.233-Habropoda_laboriosa	327	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	233	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100298.1	-	209745	210071
EFV-PL2.3.234-Habropoda_laboriosa	1104	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	234	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100671.1	+	48754	49857
EFV-PL2.3.235-Habropoda_laboriosa	198	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	235	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100397.1	+	955329	955526
EFV-PL2.3.242-Habropoda_laboriosa	3023	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	242	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100753.1	+	21612	24634
EFV-PL2.3.243-Habropoda_laboriosa	3707	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	243	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017101451.1	+	32588	36294
EFV-PL2.3.244-Habropoda_laboriosa	1862	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	244	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100833.1	+	47702	49563
EFV-PL2.3.245-Habropoda_laboriosa	2213	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	245	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100896.1	-	321642	323854
EFV-PL2.3.246-Habropoda_laboriosa	10396	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	246	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100158.1	-	320175	330570
EFV-PL2.3.252-Habropoda_laboriosa	4221	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	252	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100152.1	-	1892731	1896951
EFV-PL2.3.256-Habropoda_laboriosa	372	EFV-PL2.3-Apoidae	PL2	EFV-PL2	3	256	Habropoda_laboriosa	low_coverage	ASM126327v1	GCF_001263275.1_ASM126327v1_genomic.fna	NW_017100814.1	-	92423	92794
