sequenceID	sublineage	subfamily	sublineage	genus	clade	name	full_name	class	integration	fragment	duplicate	organism	scaffold	start	end	length	orientation
CerCal_28_LSNX01029144	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_28	CerCal_28_LSNX01029144	EFV	3	28	1	Ceratina_calcarata	LSNX01030159.1	6047	6463	417	negative
CerCal_85_LSNX01045745	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_85	CerCal_85_LSNX01045745	EFV	3	85	1	Ceratina_calcarata	LSNX01030536.1	1	174	174	positive
CerCal_70_LSNX01040369	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_70	CerCal_70_LSNX01040369	EFV	3	70	1	Ceratina_calcarata	LSNX01030735.1	3	230	228	negative
CerCal_53_LSNX01017633	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_53	CerCal_53_LSNX01017633	EFV	3	53	1	Ceratina_calcarata	LSNX01031071.1	2	229	228	negative
CerCal_57_LSNX01009221	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_57	CerCal_57_LSNX01009221	EFV	3	57	1	Ceratina_calcarata	LSNX01031839.1	2	226	225	negative
CerCal_50_LSNX01026984	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_50	CerCal_50_LSNX01026984	EFV	3	50	1	Ceratina_calcarata	LSNX01032777.1	2	223	222	negative
CerCal_73_LSNX01000694	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_73	CerCal_73_LSNX01000694	EFV	3	73	1	Ceratina_calcarata	LSNX01033181.1	2	223	222	positive
CerCal_64_LSNX01019724	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_64	CerCal_64_LSNX01019724	EFV	3	64	1	Ceratina_calcarata	LSNX01034754.1	2	220	219	positive
CerCal_67_LSNX01006710	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_67	CerCal_67_LSNX01006710	EFV	3	67	1	Ceratina_calcarata	LSNX01035027.1	1	219	219	negative
CerCal_84_LSNX01005386	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_84	CerCal_84_LSNX01005386	EFV	3	84	1	Ceratina_calcarata	LSNX01035444.1	4	216	213	positive
CerCal_90_LSNX01037518	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_90	CerCal_90_LSNX01037518	EFV	3	90	1	Ceratina_calcarata	LSNX01035518.1	3	104	102	negative
CerCal_11_LSNX01003284	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_11	CerCal_11_LSNX01003284	EFV	3	11	1	Ceratina_calcarata	LSNX01035665.1	21	1823	1803	positive
CerCal_88_LSNX01002163	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_88	CerCal_88_LSNX01002163	EFV	3	88	1	Ceratina_calcarata	LSNX01036068.1	5	106	102	positive
CerCal_86_LSNX01005431	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_86	CerCal_86_LSNX01005431	EFV	3	86	1	Ceratina_calcarata	LSNX01037518.1	1	147	147	positive
CerCal_14_LSNX01012448	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_14	CerCal_14_LSNX01012448	EFV	3	14	1	Ceratina_calcarata	LSNX01040369.1	4	1266	1263	negative
CerCal_23_LSNX01007748	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_23	CerCal_23_LSNX01007748	EFV	3	23	1	Ceratina_calcarata	LSNX01041523.1	3	1191	1189	positive
CerCal_78_LSNX01035518	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_78	CerCal_78_LSNX01035518	EFV	3	78	1	Ceratina_calcarata	LSNX01042023.1	2	205	204	positive
CerCal_87_LSNX01034754	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_87	CerCal_87_LSNX01034754	EFV	3	87	1	Ceratina_calcarata	LSNX01042962.1	3	137	135	positive
CerCal_81_LSNX01049465	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_81	CerCal_81_LSNX01049465	EFV	3	81	1	Ceratina_calcarata	LSNX01044617.1	3	197	195	negative
CerCal_74_LSNX01045588	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_74	CerCal_74_LSNX01045588	EFV	3	74	1	Ceratina_calcarata	LSNX01045128.1	2	199	198	positive
CerCal_25_LSNX01022802	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_25	CerCal_25_LSNX01022802	EFV	3	25	1	Ceratina_calcarata	LSNX01045588.1	189	710	522	negative
CerCal_15_LSNX01005555	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_15	CerCal_15_LSNX01005555	EFV	3	15	1	Ceratina_calcarata	LSNX01045745.1	2	952	951	positive
CerCal_19_LSNX01006512	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_19	CerCal_19_LSNX01006512	EFV	3	19	1	Ceratina_calcarata	LSNX01047144.1	10	696	687	positive
CerCal_1_LSNX01011448	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_1	CerCal_1_LSNX01011448	EFV	3	1	1	Ceratina_calcarata	LSNX01048950.1	2693	17097	14405	negative
CerCal_21_LSNX01004653	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_21	CerCal_21_LSNX01004653	EFV	3	21	1	Ceratina_calcarata	LSNX01048978.1	2	592	591	negative
CerCal_12_LSNX01008973	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_12	CerCal_12_LSNX01008973	EFV	3	12	1	Ceratina_calcarata	LSNX01049465.1	583	3504	2922	negative
CerCal_4_LSNX01000710	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_4	CerCal_4_LSNX01000710	EFV	3	4	1	Ceratina_calcarata	LSNX01049465.1	4703	11637	6935	negative
CerCal_38_LSNX01035665	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_38	CerCal_38_LSNX01035665	EFV	3	38	1	Ceratina_calcarata	SHCU01001306.1	14225	20686	6462	positive
CerCal_58_LSNX01021754	FlaviPesti	FlaviPesti	Pesti-like	PL2	Bee	CerCal_58	CerCal_58_LSNX01021754	EFV	3	58	1	Ceratina_calcarata	SHCU01006948.1	50	1315	1266	positive
DufNov_4_NW_015373905	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_4	DufNov_4_NW_015373905	EFV	3	4	1	Dufourea_novaeangliae	NW_015373905.1	1526901	1527215	315	negative
DufNov_2_NW_015373905	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_2	DufNov_2_NW_015373905	EFV	3	2	1	Dufourea_novaeangliae	NW_015373905.1	1529275	1532851	3577	negative
DufNov_3_NW_015373907	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_3	DufNov_3_NW_015373907	EFV	3	3	1	Dufourea_novaeangliae	NW_015373907.1	13307	14390	1084	negative
DufNov_6_NW_015373949	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_6	DufNov_6_NW_015373949	EFV	3	6	1	Dufourea_novaeangliae	NW_015373949.1	55376	59003	3628	positive
DufNov_5_NW_015374004	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_5	DufNov_5_NW_015374004	EFV	3	5	1	Dufourea_novaeangliae	NW_015374004.1	745179	746304	1126	positive
DufNov_12_NW_015374014	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_12	DufNov_12_NW_015374014	EFV	3	12	1	Dufourea_novaeangliae	NW_015374014.1	468128	468346	219	negative
DufNov_1_NW_015374131	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_1	DufNov_1_NW_015374131	EFV	3	1	1	Dufourea_novaeangliae	NW_015374131.1	120625	122715	2091	positive
DufNov_7_NW_015374131	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_7	DufNov_7_NW_015374131	EFV	3	7	1	Dufourea_novaeangliae	NW_015374131.1	135751	139506	3756	positive
DufNov_10_NW_015374136	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_10	DufNov_10_NW_015374136	EFV	3	10	1	Dufourea_novaeangliae	NW_015374136.1	2043	2981	939	positive
DufNov_13_NW_015374205	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_13	DufNov_13_NW_015374205	EFV	3	13	1	Dufourea_novaeangliae	NW_015374205.1	287333	288226	894	negative
DufNov_11_NW_015374226	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_11	DufNov_11_NW_015374226	EFV	3	11	1	Dufourea_novaeangliae	NW_015374226.1	12237	12800	564	negative
DufNov_9_NW_015374420	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_9	DufNov_9_NW_015374420	EFV	3	9	1	Dufourea_novaeangliae	NW_015374420.1	11308	12375	1068	negative
DufNov_8_NW_015374420	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	DufNov_8	DufNov_8_NW_015374420	EFV	3	8	1	Dufourea_novaeangliae	NW_015374420.1	18973	19392	420	negative
EufMex_21_NW_016907884	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_21	EufMex_21_NW_016907884	EFV	3	21	1	Eufriesea_mexicana	NW_016907884.1	370	642	273	negative
EufMex_15_NW_016910756	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_15	EufMex_15_NW_016910756	EFV	3	15	1	Eufriesea_mexicana	NW_016910756.1	8952	13723	4772	negative
EufMex_17_NW_016911683	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_17	EufMex_17_NW_016911683	EFV	3	17	1	Eufriesea_mexicana	NW_016911683.1	5517	7069	1553	negative
EufMex_28_NW_016914389	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_28	EufMex_28_NW_016914389	EFV	3	28	1	Eufriesea_mexicana	NW_016914389.1	28582	29352	771	negative
EufMex_34_NW_016915982	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_34	EufMex_34_NW_016915982	EFV	3	34	1	Eufriesea_mexicana	NW_016915982.1	26171	26924	754	positive
EufMex_27_NW_016916939	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_27	EufMex_27_NW_016916939	EFV	3	27	1	Eufriesea_mexicana	NW_016916939.1	45737	50177	4441	positive
EufMex_33_NW_016923200	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_33	EufMex_33_NW_016923200	EFV	3	33	1	Eufriesea_mexicana	NW_016923200.1	656	826	171	negative
EufMex_18_NW_016930208	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_18	EufMex_18_NW_016930208	EFV	3	18	1	Eufriesea_mexicana	NW_016930208.1	3	828	826	positive
EufMex_31_NW_016930386	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_31	EufMex_31_NW_016930386	EFV	3	31	1	Eufriesea_mexicana	NW_016930386.1	38731	39687	957	negative
EufMex_32_NW_016934935	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_32	EufMex_32_NW_016934935	EFV	3	32	1	Eufriesea_mexicana	NW_016934935.1	82	381	300	positive
EufMex_23_NW_016935298	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_23	EufMex_23_NW_016935298	EFV	3	23	1	Eufriesea_mexicana	NW_016935298.1	16136	16729	594	positive
EufMex_20_NW_016993331	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_20	EufMex_20_NW_016993331	EFV	3	20	1	Eufriesea_mexicana	NW_016993331.1	3	257	255	negative
EufMex_26_NW_017010398	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_26	EufMex_26_NW_017010398	EFV	3	26	1	Eufriesea_mexicana	NW_017010398.1	37	204	168	negative
EufMex_24_NW_017014459	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_24	EufMex_24_NW_017014459	EFV	3	24	1	Eufriesea_mexicana	NW_017014459.1	17	196	180	negative
EufMex_19_NW_017058141	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_19	EufMex_19_NW_017058141	EFV	3	19	1	Eufriesea_mexicana	NW_017058141.1	1	234	234	negative
EufMex_25_NW_017076911	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_25	EufMex_25_NW_017076911	EFV	3	25	1	Eufriesea_mexicana	NW_017076911.1	1	267	267	negative
EufMex_22_NW_017077887	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_22	EufMex_22_NW_017077887	EFV	3	22	1	Eufriesea_mexicana	NW_017077887.1	92	271	180	positive
EufMex_29_NW_017092148	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_29	EufMex_29_NW_017092148	EFV	3	29	1	Eufriesea_mexicana	NW_017092148.1	43	453	411	negative
EufMex_30_NW_017092964	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_30	EufMex_30_NW_017092964	EFV	3	30	1	Eufriesea_mexicana	NW_017092964.1	124	612	489	negative
EufMex_14_NW_017094858	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	EufMex_14	EufMex_14_NW_017094858	EFV	3	14	1	Eufriesea_mexicana	NW_017094858.1	139	1266	1128	positive
HabLab_41_NW_017100152	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_41	HabLab_41_NW_017100152	EFV	3	41	1	Habropoda_laboriosa	NW_017100152.1	1892731	1896951	4221	negative
HabLab_39_NW_017100158	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_39	HabLab_39_NW_017100158	EFV	3	39	1	Habropoda_laboriosa	NW_017100158.1	320175	321185	1011	negative
HabLab_35_NW_017100158	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_35	HabLab_35_NW_017100158	EFV	3	35	1	Habropoda_laboriosa	NW_017100158.1	327149	330570	3422	negative
HabLab_46_NW_017100164	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_46	HabLab_46_NW_017100164	EFV	3	46	1	Habropoda_laboriosa	NW_017100164.1	1459463	1461215	1753	positive
HabLab_36_NW_017100254	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_36	HabLab_36_NW_017100254	EFV	3	36	1	Habropoda_laboriosa	NW_017100254.1	262245	264713	2469	positive
HabLab_51_NW_017100267	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_51	HabLab_51_NW_017100267	EFV	3	51	1	Habropoda_laboriosa	NW_017100267.1	190333	190705	373	positive
HabLab_50_NW_017100298	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_50	HabLab_50_NW_017100298	EFV	3	50	1	Habropoda_laboriosa	NW_017100298.1	209745	210071	327	negative
HabLab_58_NW_017100298	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_58	HabLab_58_NW_017100298	EFV	3	58	1	Habropoda_laboriosa	NW_017100298.1	256439	256663	225	negative
HabLab_44_NW_017100316	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_44	HabLab_44_NW_017100316	EFV	3	44	1	Habropoda_laboriosa	NW_017100316.1	36036	38377	2342	negative
HabLab_43_NW_017100397	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_43	HabLab_43_NW_017100397	EFV	3	43	1	Habropoda_laboriosa	NW_017100397.1	922978	924362	1385	positive
HabLab_57_NW_017100397	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_57	HabLab_57_NW_017100397	EFV	3	57	1	Habropoda_laboriosa	NW_017100397.1	955329	955526	198	positive
HabLab_56_NW_017100426	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_56	HabLab_56_NW_017100426	EFV	3	56	1	Habropoda_laboriosa	NW_017100426.1	163639	163869	231	negative
HabLab_42_NW_017100498	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_42	HabLab_42_NW_017100498	EFV	3	42	1	Habropoda_laboriosa	NW_017100498.1	182171	184625	2455	positive
HabLab_45_NW_017100671	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_45	HabLab_45_NW_017100671	EFV	3	45	1	Habropoda_laboriosa	NW_017100671.1	48754	49857	1104	positive
HabLab_40_NW_017100753	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_40	HabLab_40_NW_017100753	EFV	3	40	1	Habropoda_laboriosa	NW_017100753.1	21612	24634	3023	positive
HabLab_53_NW_017100786	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_53	HabLab_53_NW_017100786	EFV	3	53	1	Habropoda_laboriosa	NW_017100786.1	199006	199657	652	negative
HabLab_55_NW_017100814	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_55	HabLab_55_NW_017100814	EFV	3	55	1	Habropoda_laboriosa	NW_017100814.1	92423	92794	372	negative
HabLab_38_NW_017100833	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_38	HabLab_38_NW_017100833	EFV	3	38	1	Habropoda_laboriosa	NW_017100833.1	47702	49563	1862	positive
HabLab_47_NW_017100896	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_47	HabLab_47_NW_017100896	EFV	3	47	1	Habropoda_laboriosa	NW_017100896.1	321642	323854	2213	negative
HabLab_49_NW_017100971	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_49	HabLab_49_NW_017100971	EFV	3	49	1	Habropoda_laboriosa	NW_017100971.1	94311	94915	605	negative
HabLab_54_NW_017101204	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_54	HabLab_54_NW_017101204	EFV	3	54	1	Habropoda_laboriosa	NW_017101204.1	28357	28578	222	positive
HabLab_37_NW_017101451	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_37	HabLab_37_NW_017101451	EFV	3	37	1	Habropoda_laboriosa	NW_017101451.1	32588	36294	3707	positive
HabLab_48_NW_017102650	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_48	HabLab_48_NW_017102650	EFV	3	48	1	Habropoda_laboriosa	NW_017102650.1	6717	7145	429	positive
HabLab_52_NW_017123952	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	HabLab_52	HabLab_52_NW_017123952	EFV	3	52	1	Habropoda_laboriosa	NW_017123952.1	2	247	246	positive
LasAlb_64_KB639126	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	LasAlb_64	LasAlb_64_KB639126	EFV	3	64	1	Lasioglossum_albipes	KB639126.1	27398	28416	1019	positive
LasAlb_59_KB639126	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	LasAlb_59	LasAlb_59_KB639126	EFV	3	59	1	Lasioglossum_albipes	KB639126.1	54847	55593	747	positive
LasAlb_63_KB640114	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	LasAlb_63	LasAlb_63_KB640114	EFV	3	63	1	Lasioglossum_albipes	KB640114.1	14000	14575	576	positive
LasAlb_60_KB640877	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	LasAlb_60	LasAlb_60_KB640877	EFV	3	60	1	Lasioglossum_albipes	KB640877.1	76903	81999	5097	negative
LasAlb_61_KB641283	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	LasAlb_61	LasAlb_61_KB641283	EFV	3	61	1	Lasioglossum_albipes	KB641283.1	430729	430911	183	positive
LasAlb_62_KB641373	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	LasAlb_62	LasAlb_62_KB641373	EFV	3	62	1	Lasioglossum_albipes	KB641373.1	445	1020	576	negative
MetRot_4_NW_003797111	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_4_NW_003797111	EFV	3	4	1	Megachile_rotundata	NW_003797111	67412	71386	3975	negative
MetRot_1_NW_003797121	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_1_NW_003797121	EFV	3	1	1	Megachile_rotundata	NW_003797121	20669	27478	6810	positive
MetRot_16_NW_003797189	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_16_NW_003797189	EFV	3	16	1	Megachile_rotundata	NW_003797189	124287	125051	765	negative
MetRot_14_NW_003797238	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_14_NW_003797238	EFV	3	14	1	Megachile_rotundata	NW_003797238	319277	320197	921	negative
MetRot_35_NW_003797238	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_35_NW_003797238	EFV	3	35	1	Megachile_rotundata	NW_003797238	330455	330616	162	negative
MetRot_24_NW_003797246	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_24_NW_003797246	EFV	3	24	1	Megachile_rotundata	NW_003797246	118872	121060	2189	negative
MetRot_20_NW_003797246	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_20_NW_003797246	EFV	3	20	1	Megachile_rotundata	NW_003797246	130490	133971	3482	negative
MetRot_17_NW_003797246	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_17_NW_003797246	EFV	3	17	1	Megachile_rotundata	NW_003797246	137037	138326	1290	negative
MetRot_9_NW_003797272	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_9_NW_003797272	EFV	3	9	1	Megachile_rotundata	NW_003797272	83178	85367	2190	positive
MetRot_34_NW_003797288	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_34_NW_003797288	EFV	3	34	1	Megachile_rotundata	NW_003797288	39710	39925	216	positive
MetRot_23_NW_003797288	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_23_NW_003797288	EFV	3	23	1	Megachile_rotundata	NW_003797288	44833	45606	774	positive
MetRot_26_NW_003797298	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_26_NW_003797298	EFV	3	26	1	Megachile_rotundata	NW_003797298	3077	3696	620	positive
MetRot_25_NW_003797445	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_25_NW_003797445	EFV	3	25	1	Megachile_rotundata	NW_003797445	110805	111215	411	positive
MetRot_15_NW_003797490	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_15_NW_003797490	EFV	3	15	1	Megachile_rotundata	NW_003797490	234	1725	1492	negative
MetRot_12_NW_003797490	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_12_NW_003797490	EFV	3	12	1	Megachile_rotundata	NW_003797490	10066	11127	1062	negative
MetRot_3_NW_003797511	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_3_NW_003797511	EFV	3	3	1	Megachile_rotundata	NW_003797511	421737	427560	5824	negative
MetRot_8_NW_003797511	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_8_NW_003797511	EFV	3	8	1	Megachile_rotundata	NW_003797511	439045	440601	1557	negative
MetRot_2_NW_003797545	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_2_NW_003797545	EFV	3	2	1	Megachile_rotundata	NW_003797545	58856	68569	9714	negative
MetRot_19_NW_003797570	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_19_NW_003797570	EFV	3	19	1	Megachile_rotundata	NW_003797570	46464	47877	1414	positive
MetRot_6_NW_003797584	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_6_NW_003797584	EFV	3	6	1	Megachile_rotundata	NW_003797584	8584	12109	3526	positive
MetRot_27_NW_003797584	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_27_NW_003797584	EFV	3	27	1	Megachile_rotundata	NW_003797584	14447	14890	444	negative
MetRot_13_NW_003797647	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_13_NW_003797647	EFV	3	13	1	Megachile_rotundata	NW_003797647	50884	54004	3121	negative
MetRot_10_NW_003797810	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_10_NW_003797810	EFV	3	10	1	Megachile_rotundata	NW_003797810	4580	12004	7425	negative
MetRot_7_NW_003797921	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_7_NW_003797921	EFV	3	7	1	Megachile_rotundata	NW_003797921	3441	6609	3169	positive
MetRot_29_NW_003797921	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_29_NW_003797921	EFV	3	29	1	Megachile_rotundata	NW_003797921	9266	9727	462	positive
MetRot_5_NW_003797921	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_5_NW_003797921	EFV	3	5	1	Megachile_rotundata	NW_003797921	11174	17373	6200	positive
MetRot_32_NW_003798105	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_32_NW_003798105	EFV	3	32	1	Megachile_rotundata	NW_003798105	79	435	357	positive
MetRot_18_NW_003798129	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_18_NW_003798129	EFV	3	18	1	Megachile_rotundata	NW_003798129	49028	50534	1507	positive
MetRot_21_NW_003798129	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_21_NW_003798129	EFV	3	21	1	Megachile_rotundata	NW_003798129	52604	53275	672	positive
MetRot_11_NW_003798350	Ceratina-Pestinsect-EFV	FlaviPesti	Pesti-like	PL2	Bee	MetRot	MetRot_11_NW_003798350	EFV	3	11	1	Megachile_rotundata	NW_003798350	3	1343	1341	negative
