sequenceID	name	full_name	subfamily	supergenus	genus	subgenus	clade	host_major_group	host_minor_group	isolation_host	vector_group	reservoir_group	isolate	country	place_sampled	collection_year	collection_month	collection_month_day	sampled_host_common_name
MT075326	SFV	Salmon flavivirus	FlaviPesti	FlaviLike	Tamanavirus	Tamana3	NULL	Actinopterygii	Teleostii	Oncorhynchus tshawytscha	none	none	-	USA	-	2015	-	-	-
KR902735	XinSpiFV	Xinzhou spider virus 2	FlaviPesti	PestiLike	LGF	PL1	NULL	Arthropods	Arachnids	Neoscona nautica	none	none	-	China	-	2013	-	-	-
KR902737	WuCentiV	Wuhan centipede virus	FlaviPesti	PestiLike	LGF	PL1	NULL	Arthropods	Myriapods	Otostigmus scaber	none	none	-	China	-	2013	-	-	-
KU754513	TakV	Takaungu virus	FlaviPesti	PestiLike	LGF	PL1	NULL	Arthropods	Insects	Drosophila	none	none	EK_PoolSeq1	Kenya	-	2010	-	-	-
MH620810	LampV	Lampyris noctiluca flavivirus 1	FlaviPesti	PestiLike	LGF	PL1	NULL	Arthropods	Insects	Lampyris noctiluca	none	none	17FIN1	Finland	-	2017	-	-	-
MW314681	-	Odonatan flavi-related virus	FlaviPesti	PestiLike	LGF	PL1	NULL	Arthropods	Insects	Orthetrum albistylum	none	none	OKIAV365	Greece	Thessaloniki, Regional Unit Lake Volvi	2012	MAY	8	-
NC_020252	GKaV	Gentian Kobu-sho-associated virus	FlaviPesti	PestiLike	LGF	PL1	NULL	Plants	Angiosperms	Gentiana triflora	none	none	Ohasama	Japan	Iwate, Hanamaki, Ohasama	2008	JUL	30	-
NC_024077	SbCNV-5	Soybean cyst nematode virus 5	FlaviPesti	PestiLike	LGF	PL1	NULL	Nematode	Nematode	Heterodera glycines	none	none	-	USA	-	2012	APR	29	-
NC_035071	ApisFV	Apis flavivirus	FlaviPesti	PestiLike	LGF	PL1	NULL	Arthropods	Insects	Apis mellifera	none	none	RI-A	South Africa	-	2013	MAR	3	-
MH778148	SmFlV	Sitobion miscanthi flavi-like virus 1	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Sitobion miscanthi	none	none	-	China	Yuanyang	2013	-	-	-
MW208756	-	Hymenopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Dufourea dentiventris	none	none	OKIAV347	Germany	Hessen, Gersfeld Gemarkung Hettenhausen - oewer Trei Weyherser Bergfeld	2012	JUL	26	-
MW208757	-	Neuropteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Mantispinae sp.	none	none	OKIAV352	Venezuela	Cojedes Girardot Hato Pinero - Farm	2011	OCT	26	-
MW208758	-	Orthopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Stenocepa sp.	none	none	OKIAV358	Germany	Lab culture with samples originating from Germany, private breeder	2013	-	-	-
MW208761	-	Hymenopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Thyreus orbatus	none	none	OKIAV348	Italy	Valle de Cogne, Lillaz	2011	JUL	16	-
MW208762	-	Hymenopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Eumenes papillarius	none	none	OKIAV350	Germany	Baden-Wuerttemberg, Rheinau	2012	JUN	23	-
MW208763	-	Hymenopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Ancistrocerus nigricornis	none	none	OKIAV351	Germany	Rhineland-Palatinate, Albersweiler	2012	MAR	23	-
MW208764	-	Orthopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Dictyophorus griseus	none	none	OKIAV360	Germany	Lab culture with samples originating from Tanzania	2013	MAY	1	-
MW208765	-	Orthopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Phymateus viridipes	none	none	OKIAV361	Germany	Lab culture with samples originating from South Africa	2013	JAN	1	-
MW208766	-	Dipteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Meroplius fasciculatus	none	none	OKIAV368	Singapore	Lab culture with samples originating from Singapore	2013	-	-	-
MW208767	-	Notopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Austrophasmatidae sp.	none	none	OKIAV369	South Africa	Western Cape, province West Coast District 5 km W of Vanrhynsdorp	2004	AUG	13	-
MW314679	-	Dipteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Anabarhynchus dentiphallus	none	none	OKIAV357	Australia	Australian Capital Territory, Cotter River	2011	-	-	-
MW314680	-	Hymenopteran flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Perilampus aeneus	none	none	OKIAV356	Germany	Rhineland-Palatinate, S of Guntersblum	2011	JUN	2	-
MW314682	-	Odonatan flavi-related virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Hemiphlebia mirabilis	none	none	OKIAV367	Australia	Victoria, Swamp south of Boreung Camp Grampians National Park	2013	DEC	31	-
NC_028137	MEV-1	Macrosiphum euphorbiae virus 1	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Macrosiphum euphorbiae	none	none	K01	France	-	1999	-	-	-
NC_028370	XCV	Xingshan cricket virus	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Velarifictorus micado	none	none	-	China	-	2013	-	-	-
NC_028373	SLV2	Shuangao lacewing virus 2	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Chrysopidae sp	none	none	-	China	-	2013	-	-	-
NC_028375	ShayangFlyV4	Shayang fly virus 4	FlaviPesti	PestiLike	LGF	PL2	NULL	Arthropods	Insects	Musca domestica	none	none	-	China	-	2013	-	-	-
NC_028367	TachengTV-8	Tacheng tick virus 8	FlaviPesti	PestiLike	LGF	PL3	NULL	Arthropods	Acari	Dermacentor marginatus	none	none	-	China	-	2012	-	-	-
MH282910	BPVV3	Bat pestivirus BtSk-PestV-3/GX2017	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Chiroptera	Scotophilus kuhlii	none	none	BtSk-PestV-3/GX2017	China	-	2017	-	-	-
MH282911	BPVV4	Bat pestivirus BtSk-PestV-4/GX2017	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Chiroptera	Scotophilus kuhlii	none	none	BtSk-PestV-4/GX2017	China	-	2017	-	-	-
NC_001461	BVDV1	Bovine viral diarrhea virus 1	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Bos taurus	none	none	-	-	-	-	-	-	-
NC_002657	CSFV	Classical swine fever virus	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Sus scrofa	none	none	-	-	-	-	-	-	-
NC_003678	GiPeV	Pestivirus giraffe-1 H138	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Giraffa camelopardalis	none	none	giraffe-1 H138	-	-	-	-	-	-
NC_003679	BDV	Border disease virus	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Ovis aries	none	none	-	-	-	-	-	-	-
NC_012812	BVDV3	Bovine viral diarrhea virus 3 Th/04_KhonKaen	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Bos taurus	none	none	-	Thailand	-	2004	-	-	-
NC_018713	Aydin	Pestivirus strain Aydin/04-TR	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Ovis aries	none	none	-	Turkey	-	2004	-	-	-
NC_023176	PoPeV	Porcine pestivirus isolate Bungowannah	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Sus scrofa	none	none	Bungowannah	Australia	-	-	-	-	-
NC_024018	PAPeV	Pronghorn antelope pestivirus	FlaviPesti	PestiLike	Pestivirus	Pesti1	NULL	Mammalia	Artiodactyla	Antilocapra americana	none	none	-	USA	-	-	-	-	-
KY370099	RPVNe	Rodent pestivirus	FlaviPesti	PestiLike	Pestivirus	Pesti2	NULL	Mammalia	Rodentia	Niviventer excelsior	none	none	RtNe-PestV/SC2014	China	-	2014	-	-	-
KY370100	RPVAp	Rodent pestivirus	FlaviPesti	PestiLike	Pestivirus	Pesti2	NULL	Mammalia	Rodentia	Apodemus peninsulae	none	none	RtAp-PestV/JL2014	China	-	2014	-	-	-
KY370102	RPVAd	Rodent pestivirus	FlaviPesti	PestiLike	Pestivirus	Pesti2	NULL	Mammalia	Rodentia	Apodemus draco	none	none	RtAd-PestV/SAX2015	China	-	2015	-	-	-
KY370103	RPVNn	Rodent pestivirus	FlaviPesti	PestiLike	Pestivirus	Pesti2	NULL	Mammalia	Rodentia	Niviventer niviventer	none	none	RtNn-PestV/SAX2015	China	-	2015	-	-	-
NC_025677	NrPeV	Norway rat pestivirus	FlaviPesti	PestiLike	Pestivirus	Pesti2	NULL	Mammalia	Rodentia	Rattus norvegicus	none	none	NrPV/NYC-D23	USA	New York, New York City	2013	JUN	30	-
NC_035432	LPV	Linda virus	FlaviPesti	PestiLike	Pestivirus	Pesti2	NULL	Mammalia	Artiodactyla	Sus scrofa	none	none	-	Austria	-	2015	-	-	-
MH282908	BPVV1	Bat pestivirus BtSk-PestV-1/GX2017	FlaviPesti	PestiLike	Pestivirus	Pesti3	NULL	Mammalia	Chiroptera	Scotophilus kuhlii	none	none	BtSk-PestV-1/GX2017	China	-	2017	-	-	-
NC_038964	APPeV	Porcine pestivirus 1	FlaviPesti	PestiLike	Pestivirus	Pesti3	NULL	Mammalia	Artiodactyla	Sus scrofa	none	none	-	USA	-	2014	APR	9	-
MG599984	NdsPV	Nanhai dogfish shark pesti-like virus	FlaviPesti	PestiLike	Pestivirus	Pesti4	NULL	Chondrichthyes	Chondrichthyes	Squalus brevirostris	none	none	-	China	-	-	-	-	-
MG599990	WmeHCV	Wenling moray eel hepacivirus	HepaPegi	HepaPegi	Hepacivirus	-	NULL	Actinopterygii	Actinopterygii	Gymnothorax reticularis	none	none	-	China	-	-	-	-	-
MT371434	BBHV	Bushbaby hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci1	NULL	Mammalia	Primates	Galago senegalensis	none	none	Bushbaby_hep	-	-	-	-	-	-
NC_004102	HCV	Hepatitis C virus genotype 1	HepaPegi	HepaPegi	Hepacivirus	Hepaci1	NULL	Mammalia	Primates	Homo sapiens	none	none	H77	-	-	-	-	-	-
NC_024889	EHCV	Equine hepacivirus JPN3/JAPAN/2013	HepaPegi	HepaPegi	Hepacivirus	Hepaci1	NULL	Mammalia	Artiodactyla	Equus caballus	none	none	-	Japan	-	2013	-	-	-
BK013349	BHV-PM_01	Bat hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Chiroptera	Peropteryx macrotis	none	none	Peropteryx_macrotis/Hepacivirus/Pm_01	-	-	-	-	-	-
JQ181558	CHV	Canine hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Carnivora	Canis familiaris	none	none	-	-	-	-	-	-	-
KY370092	RHCV	Rodent hepacvirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Meriones meridianus	none	none	RtMm-HCV/IM2014	China	-	2014	-	-	-
MG334001	THCV	Hepacivirus sp.	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Trachemys scripta elegans	none	none	-	USA	-	2008	-	-	-
MH370348	SHV	Sigmodontinae hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Oligoryzomys nigripes	none	none	-	Brazil	-	2012	-	-	-
MH824541	SHV	Sifaka hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Primates	Propithecus diadema	none	none	-	Madagascar	-	2011	-	-	-
MH844500	SHV	Hepacivirus sp.	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Xenarthra	Bradypus variegatus	none	none	BV	Costa Rica	-	2014	-	-	-
MK026585	CBV	Collins beach virus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Arthropods	Acari	Ixodes holocyclus	none	none	-	Australia	-	2016	-	-	-
MT371437	MHV	Marmoset pegivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Primates	Marmoset	none	none	Marmoset_peg	-	-	-	-	-	-
MT371440	BcHV	Bandicoot hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Marsupials	Ixodes holocyclus	none	none	Collinsbeach_1	Australia	-	2016	-	-	-
MT371443	KHV	Koala hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Marsupials	Phascolarctos cinereus	none	none	Koala_hep	Australia	-	-	-	-	-
MZ393518	RRHV	Ringtail hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Carnivora	Bassariscus astutus	none	none	CO-09/924	Mexico	-	2018	NOV	22	-
NC_001655	GBVB	GB virus-B	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Primates	Homo sapiens	none	none	-	-	-	-	-	-	-
NC_021153	RHV-339	Rodent hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Peromyscus maniculatus	none	none	RHV-339	USA	-	2008	-	-	-
NC_025672	RHCV-1	Norway rat hepacivirus 1	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Rattus norvegicus	none	none	NrHV-1/NYC-C12	USA	New York, New York City	2013	APR	7	-
NC_025673	RHCV-2	Norway rat hepacivirus 2	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Rattus norvegicus	none	none	NrHV-2/NYC-E43	USA	New York, New York City	2012	DEC	20	-
NC_026797	BHCV	Bovine hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Artiodactyla	Bos taurus	none	none	GHC25	Ghana	-	2011	-	-	-
NC_031916	HVL	Hepacivirus L	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Chiroptera	Hipposideros vittatus	none	none	PDB-112	Kenya	-	2010	-	-	-
NC_031950	GuHV	Guereza hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Primates	Colobus sp.	none	none	GHV-2 BWC04	Uganda	-	2010	MAR	13	-
NC_038426	HVB	Hepacivirus B	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Primates	Homo sapiens	none	none	-	-	-	1994	-	-	-
NC_038427	HVF	Hepacivirus F	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Myodes glareolus	none	none	Hepacivirus/NLR07-oct70/NEL/2007	Netherlands	-	2007	-	-	-
NC_038428	HVI	Hepacivirus I	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Rhabdomys pumilio	none	none	Hepacivirus/SAR-3/RSA/2008	South Africa	-	2008	-	-	-
NC_038432	HVN	Hepacivirus N	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Artiodactyla	Bos taurus	none	none	BovHepV_463/Ger/2014	Germany	-	2014	-	-	-
NC_040815	HVP	Hepacivirus P	HepaPegi	HepaPegi	Hepacivirus	Hepaci2	NULL	Mammalia	Rodentia	Citellus dauricus	none	none	RHV-GS2015	China	-	2015	-	-	-
NC_031947	BHV	Bat hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci3	NULL	Mammalia	Chiroptera	Otomops martiensseni	none	none	PDB-452	Kenya	-	2010	-	-	-
NC_038430	HVK	Hepacivirus K	HepaPegi	HepaPegi	Hepacivirus	Hepaci3	NULL	Mammalia	Chiroptera	Hipposideros vittatus	none	none	PDB-829	Kenya	-	2011	-	-	-
NC_038431	HVM	Hepacivirus M	HepaPegi	HepaPegi	Hepacivirus	Hepaci3	NULL	Mammalia	Chiroptera	Otomops martiensseni	none	none	PDB-491.1	Kenya	-	2011	-	-	-
MG599999	STHV	Chinese softshell turtle hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci4	NULL	Reptiles	Testudines	Pelodiscus sinensis	none	none	-	China	-	-	-	-	-
NC_038429	HVJ	Hepacivirus J	HepaPegi	HepaPegi	Hepacivirus	Hepaci4	NULL	Mammalia	Rodentia	Myodes glareolus	none	none	Hepacivirus/RMU10-3382/GER/2010	Germany	-	2010	-	-	-
MK737641	DHV	Duck hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci5	NULL	Aves	Anseriformes	Anas platyrhynchos	none	none	-	China	-	2018	NOV	15	-
MN062427	BEHV	Bald eagle hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci5	NULL	Aves	Accipitriformes	Haliaeetus leucocephalus	none	none	NA03-001	USA	Sauk County, Wisconsin	2002	DEC	29	-
MN133813	JHV	Jogalong virus	HepaPegi	HepaPegi	Hepacivirus	Hepaci5	NULL	Aves	Podargiformes	Culex annulirostris	none	none	P1-10	Australia	-	2018	MAR	26	-
MT371436	BTHV	Blue tit hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci5	NULL	Aves	Passeriformes	Cyanistes caeruleus	none	none	Bluetit_hep	France	-	-	-	-	-
MT371441	MpHV	Magpie hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci5	NULL	Aves	Passeriformes	Grallina cyanoleuca	none	none	Magpie_hep	Australia	-	2013	-	-	-
MT371442	PHV	Pelican hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci5	NULL	Aves	Pelecaniformes	Pelecanus conspicillatus	none	none	Pelican_hep	Australia	-	2013	-	-	-
MG599987	YterHCV	Yili teratoscincus roborowskii hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci6	NULL	Reptiles	Squamata	Teratoscincus roborowskii	none	none	-	China	-	-	-	-	-
MG599988	LPHV	Guangxi chinese leopard gecko hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci6	NULL	Reptiles	Squamata	Goniurosaurus luii	none	none	-	China	-	-	-	-	-
MT371439	GHV	Gecko hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci6	NULL	Reptiles	Squamata	Gehyra lauta	none	none	Gecko_hep	Australia	-	2013	-	-	-
MG599993	WHCV	Western African lungfish hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci7	NULL	Sarcopterygii	Sarcopterygii	Protopterus annectens	none	none	-	Nigeria	-	-	-	-	-
MG599991	XgHCV	Xiamen guitarfish hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci9	NULL	Chondrichthyes	Chondrichthyes	Rhinobatos hynnicephalus	none	none	-	China	-	-	-	-	-
MG599992	XSSHV	Xiamen sepia Stingray hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci9	NULL	Chondrichthyes	Chondrichthyes	Urolophus aurantiacus	none	none	-	China	-	-	-	-	-
MG599994	GHHV	Guangxi houndshark hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci9	NULL	Chondrichthyes	Chondrichthyes	Mustelus manazo	none	none	-	China	-	-	-	-	-
MG599995	NDSHV	Nanhai dogfish shark hepacivirus	HepaPegi	HepaPegi	Hepacivirus	Hepaci9	NULL	Chondrichthyes	Chondrichthyes	Squalus brevirostris	none	none	-	China	-	-	-	-	-
MG599996	NHCV	Nanhai ghost shark hepacivirus 1	HepaPegi	HepaPegi	Hepacivirus	Hepaci9	NULL	Chondrichthyes	Chondrichthyes	Chimaera sp.	none	none	-	China	-	-	-	-	-
NC_028377	WLSV	Wenling shark virus	HepaPegi	HepaPegi	Hepacivirus	Hepaci9	NULL	Chondrichthyes	Chondrichthyes	Proscyllium habereri	none	none	-	China	-	2014	-	-	-
KT439329	HHpgV	Human hepegivirus	HepaPegi	HepaPegi	Pegivirus	Pegi1	NULL	Mammalia	Primates	Homo sapiens	none	none	AK-790	USA	-	2015	-	-	-
NC_021154	RPgV	Rodent pegivirus	HepaPegi	HepaPegi	Pegivirus	Pegi1	NULL	Mammalia	Rodentia	Neotoma lepida	none	none	CC61	USA	-	2008	-	-	-
NC_025679	NPgV	Norway rat pegivirus	HepaPegi	HepaPegi	Pegivirus	Pegi1	NULL	Mammalia	Rodentia	Rattus norvegicus	none	none	NrPgV/NYC-E13	USA	New York, New York City	2012	DEC	2	-
NC_027998	HPgV-2	Human pegivirus 2	HepaPegi	HepaPegi	Pegivirus	Pegi1	NULL	Mammalia	Primates	Homo sapiens	none	none	UC0125.US	USA	-	2008	AUG	28	-
NC_038434	PVF	Pegivirus F	HepaPegi	HepaPegi	Pegivirus	Pegi1	NULL	Mammalia	Chiroptera	Carollia perspicillata	none	none	PDB-1698	Guatemala	-	2010	-	-	-
NC_038435	PVG	Pegivirus G	HepaPegi	HepaPegi	Pegivirus	Pegi1	NULL	Mammalia	Chiroptera	Scotophilus dinganii	none	none	PDB-620	Kenya	-	2010	-	-	-
KC145265	TDAV	Theiler's disease-associated virus	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Primates	Saguinus	none	none	HorseA1_serum	USA	-	2011	AUG	2	-
KC796073	BPV	Bat pegivirus	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Primates	Saguinus	none	none	PDB-303	Democratic Republic of the Congo	-	2011	-	-	-
KC796088	PVI	bat pegivirus I	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Chiroptera	Sturnira lilium	none	none	PDB-1715	Guatemala	-	2010	-	-	-
KU351670	PPV	Porcine pegivirus	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Artiodactyla	Sus scrofa	none	none	PPgV_80F/Ger/2012	Germany	-	2012	-	-	-
MK059751	DPV	Dolphin pegivirus	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Artiodactyla	Tursiops truncatus	none	none	DPgV	USA	-	2015	-	-	-
MT513216	SOBV	Southwest bike trail virus	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Primates	Aotus trivirgatus	none	none	cj1516	USA	Madison, WI	2014	NOV	30	-
MW091548	GPV	Goose pegivirus 1	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Aves	Anseriformes	Anser cygnoides	none	none	-	China	Sichuan	2016	-	-	-
NC_001710	HGV1	GB virus C	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Primates	Homo sapiens	none	none	-	-	-	-	-	-	-
NC_001837	GBV-A	Pegivirus A	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Primates	Homo sapiens	none	none	-	-	-	-	-	-	-
NC_020902	EPgV	Equine pegivirus 1	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Artiodactyla	Equus caballus	none	none	C0035	USA	-	2011	-	-	-
NC_024377	SPgV	Simian pegivirus	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Primates	Piliocolobus tephrosceles	none	none	SPgVkrc_RC08	Uganda	Kibale National Park	2010	FEB	15	-
NC_030291	GBVD	GB virus-D	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Chiroptera	Pteropus giganteus	none	none	-	Bangladesh	-	2007	-	-	-
NC_034442	PVK	Pegivirus K	HepaPegi	HepaPegi	Pegivirus	Pegi2	NULL	Mammalia	Artiodactyla	Sus scrofa	none	none	PPgV_903/Ger/2013	Germany	-	2013	-	-	-
